Casino brand	Current Status	Source	GEO	The type of a deal	CPA	RS	BL/Qualif	Offer content	Our offer content	Affiliate Link	Our Link
JohnVegas	Stop	Direct	AU	Hybrid	230	45	21	Up to 10000 AU$ + 500 FS, min.dep 30 AU$	Up to 10000 AU$ + 500 FS, min.dep 42 AU$	https://johnvaff.com/j42cf0699	https://go.luckyhotei.com/johnvegas
JohnVegas	Stop	Direct	CA	Hybrid	230	45	21	Up to 10000 AU$ + 500 FS, min.dep 30 AU$	Up to 7000 CA$ + 500 FS, min.dep 36 CA$	https://johnvaff.com/j42cf0699	https://go.luckyhotei.com/johnvegas
JohnVegas	Stop	Direct	DE	Hybrid	230	45	21	Up to 10000 AU$ + 500 FS, min.dep 30 AU$	Bis zu 5000€ + 500 Freispiele, mindesteinzahlung 25€	https://johnvaff.com/j42cf0699	https://go.luckyhotei.com/johnvegas
7Bit	Ongoing	Direct	AU	Hybrid	100	50	20	Up to 5000€ + 100 FS, min.dep 10€	Up to 8000 AUD + 100 FS, min.dep 16 AUD	https://7bit.partners/p1ba41bcf	https://go.luckyhotei.com/7Bit
7Bit	Ongoing	Direct	CA	Hybrid	100	50	20	Up to 5000€ + 100 FS, min.dep 10€	Up to 7250 CAD + 100 FS, min.dep 15 CAD	https://7bit.partners/p1ba41bcf	https://go.luckyhotei.com/7Bit
7Bit	Ongoing	Direct	DE	Hybrid	100	50	20	Up to 5000€ + 100 FS, min.dep 10€	Bis zu 5000€ + 100 FS, min. Einzahlung 10€	https://7bit.partners/p1ba41bcf	https://go.luckyhotei.com/7Bit
7Bit	Ongoing	Direct	FR	Hybrid	100	50	20	Up to 5000€ + 100 FS, min.dep 10€	Jusqu'à 5000€ + 100 FS, dépôt min. 10€	https://7bit.partners/p1ba41bcf	https://go.luckyhotei.com/7Bit
7Bit	Ongoing	Direct	IT	Hybrid	100	50	20	Up to 5000€ + 100 FS, min.dep 10€	Fino a 5000€ + 100 FS, deposito minimo 10€	https://7bit.partners/p1ba41bcf	https://go.luckyhotei.com/7Bit
Mirax	Ongoing	Direct	AU	Hybrid	100	50	20	Up to 1425€ + 150 FS, min.dep 10€	Up to 2280 AUD + 150 FS, min.dep 16 AUD	https://mirax.partners/pba974a16	https://go.luckyhotei.com/mirax
Mirax	Ongoing	Direct	CA	Hybrid	100	50	20	Up to 1425€ + 150 FS, min.dep 10€	Up to 2068 CAD + 150 FS, min.dep 15 CAD	https://mirax.partners/pba974a16	https://go.luckyhotei.com/mirax
Mirax	Ongoing	Direct	DE	Hybrid	100	50	20	Up to 1425€ + 150 FS, min.dep 10€	Bis zu 1425€ + 150 FS, min. Einzahlung 10€	https://mirax.partners/pba974a16	https://go.luckyhotei.com/mirax
Mirax	Ongoing	Direct	FR	Hybrid	100	50	20	Up to 1425€ + 150 FS, min.dep 10€	Jusqu'à 1425€ + 150 FS, dépôt min. 10€	https://mirax.partners/pba974a16	https://go.luckyhotei.com/mirax
Mirax	Ongoing	Direct	IT	Hybrid	100	50	20	Up to 1425€ + 150 FS, min.dep 10€	Fino a 1425€ + 150 FS, deposito minimo 10€	https://mirax.partners/pba974a16	https://go.luckyhotei.com/mirax
Katsubet	Ongoing	Direct	AU	Hybrid	100	50	20	Up to 6000€ + 200 FS, min.dep 10€	Up to 9600 AUD + 200 FS, min.dep 16 AUD	https://katsubet.partners/pe025074c	https://go.luckyhotei.com/katsubet
Katsubet	Ongoing	Direct	CA	Hybrid	100	50	20	Up to 6000€ + 200 FS, min.dep 10€	Up to 8700 CAD + 200 FS, min.dep 15 CAD	https://katsubet.partners/pe025074c	https://go.luckyhotei.com/katsubet
Katsubet	Ongoing	Direct	DE	Hybrid	100	50	20	Up to 6000€ + 200 FS, min.dep 10€	Bis zu 6000€ + 200 FS, min. Einzahlung 10€	https://katsubet.partners/pe025074c	https://go.luckyhotei.com/katsubet
Katsubet	Ongoing	Direct	FR	Hybrid	100	50	20	Up to 6000€ + 200 FS, min.dep 10€	Jusqu'à 6000€ + 200 FS, dépôt min. 10€	https://katsubet.partners/pe025074c	https://go.luckyhotei.com/katsubet
Katsubet	Ongoing	Direct	IT	Hybrid	100	50	20	Up to 6000€ + 200 FS, min.dep 10€	Fino a 6000€ + 200 FS, deposito minimo 10€	https://katsubet.partners/pe025074c	https://go.luckyhotei.com/katsubet
Betzard	Ongoing	Direct	AU	Hybrid	100	50	20	300% up to 1200€ + 300 FS, min.dep 20€	300% up to 1920 AUD + 300 FS, min.dep 32 AUD	https://betzrd.com/p23eb86e8	https://go.luckyhotei.com/bitzard
Betzard	Ongoing	Direct	CA	Hybrid	100	50	20	300% up to 1200€ + 300 FS, min.dep 20€	300% up to 1740 CAD + 300 FS, min.dep 30 CAD	https://betzrd.com/p23eb86e8	https://go.luckyhotei.com/bitzard
Betzard	Ongoing	Direct	DE	Hybrid	100	50	20	300% up to 1200€ + 300 FS, min.dep 20€	300% bis zu 1200€ + 300 Freispiele, Mindesteinzahlung 20€	https://betzrd.com/p23eb86e8	https://go.luckyhotei.com/bitzard
Betzard	Ongoing	Direct	FR	Hybrid	100	50	20	300% up to 1200€ + 300 FS, min.dep 20€	300% jusqu'à 1200€ + 300 FS, dépôt min. 20€	https://betzrd.com/p23eb86e8	https://go.luckyhotei.com/bitzard
Betzard	Ongoing	Direct	IT	Hybrid	100	50	20	300% up to 1200€ + 300 FS, min.dep 20€	300% fino a 1200€ + 300 FS, deposito minimo 20€	https://betzrd.com/p23eb86e8	https://go.luckyhotei.com/bitzard
LuckyDreams	Ongoing	Alfaleads	AU	CPA	190		190	275% up to 4000€ + 300FS, min. dep 20€	275% up to 6200 AU$ + 300 FS, min.dep. 42 AU$	https://a.gambburj.com/click?pid=169930&offer_id=8775&l=1700729443	https://go.luckyhotei.com/LuckyDreams
LuckyDreams	Ongoing	Alfaleads	CA	CPA	190		190	275% up to 4000€ + 300FS, min. dep 20€	275% up to 5700 CA$ + 300 FS, min.dep 36 CA$	https://a.gambburj.com/click?pid=169930&offer_id=8775&l=1700729443	https://go.luckyhotei.com/LuckyDreams
LuckyDreams	Ongoing	Alfaleads	DE	CPA	190		190	275% up to 4000€ + 300FS, min. dep 20€	275% up to 4000€ + 300FS, min. dep 20€	https://a.gambburj.com/click?pid=169930&offer_id=8775&l=1700729443	https://go.luckyhotei.com/LuckyDreams
LuckyDreams	Ongoing	Alfaleads	CA	CPA	190		190	275% up to 4000€ + 300FS, min. dep 20€	275% up to 4000€ + 300FS, min. dep 20€	https://a.gambburj.com/click?pid=169930&offer_id=8775&l=1700729443	https://go.luckyhotei.com/LuckyDreams
LuckyDreams	Ongoing	Alfaleads	OU	CPA	190		190	275% up to 4000€ + 300FS, min. dep 20€	275% up to 4000€ + 300FS, min. dep 20€	https://a.gambburj.com/click?pid=169930&offer_id=8775&l=1700729443	https://go.luckyhotei.com/LuckyDreams
LuckyHunter	Ongoing	Direct	AU	Hybrid	190	30	20	100% up to $4,000 + 244 FS		https://luckyhunter.media/n15ef5331b	https://go.luckyhotei.com/luckyhunter
Retrobet	Ongoing	Direct	CA	Hybrid	190	30	20	100% up to €1000 + 100 FS		https://retrobetmedia.com/n137ed7374	https://go.luckyhotei.com/retrobet
RollXO	Ongoing	Direct	IT	Hybrid	190	30	20	350% up to 15000€ + 350 FS, min.dep 20€		https://rollxo.media/n1590769ae	https://go.luckyhotei.com/rollxo
SpicyJackpots	Stop	Direct	AU	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
SpicyJackpots	Stop	Direct	CA	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
SpicyJackpots	Stop	Direct	DE	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
SpicyJackpots	Stop	Direct	FR	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
SpicyJackpots	Stop	Direct	IT	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
SpicyJackpots	Ongoing	Direct	NL	Hybrid	200	40	20	400% up 2000€+ 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5412	https://go.luckyhotei.com/spicyjackpots
Bigwins	Stop	Direct	AU	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Bigwins	Stop	Direct	CA	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Bigwins	Stop	Direct	DE	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Bigwins	Stop	Direct	FR	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Bigwins	Stop	Direct	IT	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Bigwins	Ongoing	Direct	NL	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5413	https://go.luckyhotei.com/bigwins
Spinland	Stop	Direct	AU	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
Spinland	Stop	Direct	CA	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
Spinland	Stop	Direct	DE	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
Spinland	Stop	Direct	FR	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
Spinland	Stop	Direct	IT	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
Spinland	Ongoing	Direct	NL	Hybrid	200	40	20	300% up to 1000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5506	https://go.luckyhotei.com/spinland
OceanBreeze	Stop	Direct	AU	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
OceanBreeze	Stop	Direct	CA	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
OceanBreeze	Stop	Direct	DE	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
OceanBreeze	Stop	Direct	FR	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
OceanBreeze	Stop	Direct	IT	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
OceanBreeze	Ongoing	Direct	NL	Hybrid	200	40	20	400% up to 2000€ + 100 FS		https://go.partnerbreeze.com/visit/?bta=35959&nci=5507	https://go.luckyhotei.com/oceanbreeze
CosmicSlot	Ongoing	Direct	DE	Hybrid	120	40	20	252% up to €3500 + 200 FS		https://m.media13aff.com/Redirect.aspx?mid=23&sid=6677&cid=&pid=&affid=1573	https://go.luckyhotei.com/cosmicslot
CosmicSlot	Ongoing	Direct	CA	Hybrid	120	40	20	252% up to €3500 + 200 FS		https://m.media13aff.com/Redirect.aspx?mid=68&sid=6676&cid=&pid=&affid=1573	https://go.luckyhotei.com/cosmicslot
CosmicSlot	Ongoing	Direct	IT	Hybrid	120	40	20	252% up to €3500 + 200 FS		https://m.media13aff.com/Redirect.aspx?mid=158&sid=6678&cid=&pid=&affid=1573	https://go.luckyhotei.com/cosmicslot
CosmicSlot	Ongoing	Direct	AT	Hybrid	120	40	20	252% up to €3500 + 200 FS		https://m.media13aff.com/Redirect.aspx?mid=59&sid=6780&cid=&pid=&affid=1573cid={subid}&pid=&affid=1573&keyword={keyword}&origin_click={origin_click}	https://go.luckyhotei.com/cosmicslot
SpinsBro	Ongoing	Direct	DE	Hybrid	120	40	20	240% up to €1200  + 225 FS		https://m.media13aff.com/Redirect.aspx?mid=77&sid=6680&cid=&pid=&affid=1573	https://go.luckyhotei.com/spinsbro
SpinsBro	Ongoing	Direct	CA	Hybrid	120	40	20	240% up to €1200  + 225 FS		https://m.media13aff.com/Redirect.aspx?mid=100&sid=6679&cid=&pid=&affid=1573	https://go.luckyhotei.com/spinsbro
SpinsBro	Ongoing	Direct	IT	Hybrid	120	40	20	240% up to €1200  + 225 FS		https://m.media13aff.com/Redirect.aspx?mid=73&sid=6681&cid=&pid=&affid=1573	https://go.luckyhotei.com/spinsbro
Gangsta	Ongoing	Direct	DE	Hybrid	120	40	20	225% up to 2500€ + 250 FS, min.dep 20€		https://gangstacasinoplay.com/da7ae758a	https://go.luckyhotei.com/gangsta
Gangsta	Ongoing	Direct	CA	Hybrid	120	40	20	225% up to 2500€ + 250 FS, min.dep 20€		https://gangstacasinoplay.com/d8e6aace1	https://go.luckyhotei.com/gangsta
Gangsta	Ongoing	Direct	IT	Hybrid	120	40	20	225% up to 2500€ + 250 FS, min.dep 20€		https://gangstacasinoplay.com/d7cd49b31	https://go.luckyhotei.com/gangsta
SlotsGallery	Ongoing	Direct	AU	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	CA	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	DE	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	FR	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	IT	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	AT	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
SlotsGallery	Ongoing	Direct	NZ	Hybrid	180	40	25	225% up to €600 + 225 FS		https://slotsaff.com/abc3f0697	https://go.luckyhotei.com/slotsgallery
Boho	Ongoing	Direct	AU	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	CA	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	DE	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	FR	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	IT	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	AT	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
Boho	Ongoing	Direct	NZ	Hybrid	180	40	25	150% up to 150€ + 100 FS		https://bohoaff.com/aa853108d	https://go.luckyhotei.com/boho
